voice,voice_slug,dialog,seed,duration_seconds,wav,direction,text,voice_description
Ancient Demon,01_ancient_demon,casting_line,38117,,voice-design-options/monster-voicesV2/01_ancient_demon/01_casting_line_seed_38117.wav,"Speak with calm menace and restrained dark amusement at a strong conversational volume. Do not shout. Let the unnatural bass resonance, rough texture and immense physical weight of the voice carry the threat.","So, little queen, you finally opened my gate. I have watched kingdoms rise, crumble, and vanish while I waited beneath this mountain. Come closer. I would very much like to see what sort of creature was foolish enough to wake me.","Role: ancient non-human demon, performed fantasy creature voice. Gender: male. Age: ancient but physically powerful, never frail. Pitch: extremely low bass register, deliberately below an ordinary conversational male range, with mostly low and stable pitch. Resonance: enormous chest and throat resonance with a cavernous, hollow-bodied quality. Timbre: dark, smoky, coarse, gravelly, creaky and heavy. Phonation: dense, compressed and slightly strained, with a subtle rumbling undertone throughout the voice. Articulation: broad vowels and heavy consonants, clearly intelligible but sounding physically weighty. Speed: slow and deliberate. Prosody: long phrase endings, strong downward inflections and measured dramatic pauses. Tone: predatory, ancient, intelligent and quietly terrifying. Important: deliberately perform an unnatural fantasy demon voice. It should sound substantially non-human and physically enormous, not merely like a normal man with a deep narrator voice."
Old Witch,02_old_witch,casting_line,46036,,voice-design-options/monster-voicesV2/02_old_witch/01_casting_line_seed_46036.wav,"Speak conversationally with sly amusement and secretive delight. Allow little creaks, brittle changes in pitch and irregular timing to make the voice distinctive, while keeping every word intelligible.","Ah, there you are. I wondered how long it would take you to find my cottage. Come inside, child. The kettle is warm, the ravens are behaving terribly, and something in my cupboard has been whispering your name since midnight.","Role: ancient human-like witch with an exaggerated storybook creature voice. Gender: female. Age: extremely elderly, around ninety years old. Pitch: narrow upper-mid register with occasional thin upward bends. Resonance: small, forward and slightly nasal, with very little chest resonance. Timbre: dry, brittle, papery, reedy, scratchy, creaky and weathered. Phonation: lightly strained with audible age, occasional vocal fry and a subtle quavering instability. Articulation: precise but crooked-sounding, with sharp consonants and slightly stretched vowels. Speed: uneven and deliberate, alternating between slow phrases and quick little bursts. Prosody: sly pitch turns, peculiar pauses and amused downward curls at phrase endings. Tone: clever, eccentric, suspicious, mischievous and faintly sinister. Important: strongly perform an old fantasy witch voice. She should sound unmistakably unusual and aged, not simply like an older female narrator."
Young Witch,03_young_witch,casting_line,53955,,voice-design-options/monster-voicesV2/03_young_witch/01_casting_line_seed_53955.wav,"Speak with playful confidence, curiosity and barely contained excitement. Keep the delivery conversational but highly expressive, with lively pitch movement and a smile audible in the voice.","Oh, that's interesting. The spell is definitely not supposed to glow purple, and I'm almost certain the floor wasn't breathing a moment ago. Don't worry. This is either an incredible discovery or a very educational disaster.","Role: young magical witch with a highly characterful fantasy voice. Gender: female. Age: early twenties. Pitch: moderately high with broad, agile pitch movement and quick melodic turns. Resonance: bright and forward with light chest resonance and a slightly airy upper register. Timbre: clear, youthful, lightly breathy, sparkling and subtly sharp around emphasized words. Phonation: flexible and energetic rather than perfectly polished. Articulation: crisp consonants, quick syllables and clean intelligibility. Speed: moderately fast and lively. Prosody: animated pitch contours, sudden playful emphasis and expressive rhythm. Tone: clever, mischievous, curious, fearless and excited by magic. Important: this should sound like a strongly performed fantasy character voice with noticeable personality and vocal color, not a generic young female audiobook narrator."
Goblin,04_goblin,casting_line,61874,,voice-design-options/monster-voicesV2/04_goblin/01_casting_line_seed_61874.wav,"Speak quickly with crafty excitement and nervous greed. Use erratic pitch movement, clipped consonants and restless energy, but stay clearly understandable and do not turn into screaming.","Gold? You should have mentioned gold first! I know the tunnel, I know the lock, and I know exactly which dragon sleeps through thunderstorms. For a modest fee, naturally, I could make all of us extraordinarily rich.","Role: small non-human goblin, strongly performed fantasy creature voice. Gender: male. Age: adult creature. Pitch: unnaturally high male register with frequent sharp upward jumps and sudden drops. Resonance: very small, forward, nose-heavy and throat-focused, with almost no chest weight. Timbre: wiry, reedy, dry, scratchy, squeaky at the edges and slightly cracked. Phonation: tight, compressed, mildly strained and restless. Articulation: extremely sharp consonants, clipped syllables and quick mouth movements. Speed: fast and twitchy with irregular bursts and sudden pauses. Prosody: erratic melodic movement, abrupt emphasis and frequent changes in pitch. Tone: crafty, greedy, suspicious, excitable and slightly feral. Important: deliberately perform a strange non-human goblin voice. Avoid a normal youthful male voice, cute cartoon narrator, or merely nasal human speech."
Orc Warrior,05_orc_warrior,casting_line,69793,,voice-design-options/monster-voicesV2/05_orc_warrior/01_casting_line_seed_69793.wav,"Speak with calm battlefield authority and restrained intimidation. Keep the voice heavy, coarse and chest-dominant without roaring. The power should sound effortless.","Keep your shield high and stay beside me. Those creatures are waiting for somebody to panic, so don't give them the pleasure. When they charge, plant your feet, breathe once, and let them discover why we came prepared.","Role: massive non-human orc warrior, performed fantasy creature voice. Gender: male. Age: mature adult. Pitch: very low baritone, lower and broader than an ordinary human speaking voice. Resonance: powerful chest-heavy resonance with thick throat resonance and a wide physical sound. Timbre: coarse, rough, gravelly, leathery and dense. Phonation: strongly compressed with restrained rasp and occasional rough creak at phrase endings. Articulation: heavy consonants, broad open vowels and blunt rhythmic delivery. Speed: moderate to slow. Prosody: limited melodic movement, strong downward endings and forceful stressed words. Tone: battle-hardened, blunt, fearless and physically imposing. Important: he should sound like a huge fantasy orc being performed by a skilled actor, noticeably rougher, broader and less human than a normal deep-voiced man, while remaining suitable for long dialogue."
Ogre,06_ogre,casting_line,77712,,voice-design-options/monster-voicesV2/06_ogre/01_casting_line_seed_77712.wav,Speak thoughtfully and naturally in the ogre's characteristic enormous voice. Be mildly puzzled but good-natured. Let the massive resonance and slow physical delivery define the creature.,Ogre thinks little bridge may have problem. Bridge is small. Ogre is very much not small. Maybe we find another road before everybody learns what happens when extremely large ogre and extremely small bridge disagree.,"Role: enormous non-human ogre, performed fantasy creature voice. Gender: male. Age: middle-aged adult creature. Pitch: exceptionally low bass, broad and heavy rather than sinister. Resonance: huge hollow chest cavity resonance with thick throat resonance, producing an oversized booming body to every word. Timbre: thick, rounded, rough, warm, muddy and slightly gravelly. Phonation: heavy and relaxed, with large slow vocal-fold energy rather than tight strain. Articulation: broad vowels, softened consonants and slightly cumbersome mouth movements, but clearly intelligible. Speed: slow with noticeable thoughtful pauses. Prosody: simple, wide emphasis with long phrase endings. Tone: enormous, stubborn, slow-thinking, sincere and unexpectedly gentle. Important: create the impression of a creature several times human size. Do not simply make him a normal low-pitched man or exaggerate him into a foolish cartoon voice."
Werewolf,07_werewolf,casting_line,85631,,voice-design-options/monster-voicesV2/07_werewolf/01_casting_line_seed_85631.wav,"Speak quietly but intensely, as a predator who has detected danger before anyone else. Keep the animal quality restrained under clearly intelligible speech rather than openly growling.","We're being followed. Don't turn around. Whoever it is has stayed downwind since sunset, which means they know exactly what I am. Keep walking until we reach the stones. If they come closer, I'll handle it.","Role: adult werewolf capable of human speech, performed dark fantasy creature voice. Gender: male. Age: mature adult. Pitch: low baritone with a narrow threatening lower register. Resonance: strong chest resonance mixed with tense throat resonance. Timbre: dark, breathy, raspy, rough-edged and slightly feral. Phonation: tense and compressed with audible breath pressure, restrained vocal fry and a subtle low rumbling quality, but never a full growl. Articulation: clear human words shaped by a tight jaw and heavy consonants. Speed: measured and alert. Prosody: restrained pitch range, careful pauses and sudden emphasis when danger is noticed. Tone: predatory, vigilant, controlled and constantly suppressing animal instinct. Important: the wolfish quality must be audible beneath normal speech. He should not sound merely like a raspy human action hero."
Ghost Woman,08_ghost_woman,casting_line,93550,,voice-design-options/monster-voicesV2/08_ghost_woman/01_casting_line_seed_93550.wav,Speak softly with haunting calm and restrained sadness. Let phrases seem to float and fade while remaining intelligible. Do not whisper completely; preserve enough voiced tone to establish a reusable speaker identity.,"You can see me, can't you? It has been so many years since anyone looked directly at this window. Please don't be afraid. I have waited here only because there was something I promised I would never leave behind.","Role: supernatural female ghost with an ethereal non-ordinary speaking voice. Gender: female. Apparent age: adult, around thirty. Pitch: high but soft soprano register with very gentle pitch movement. Resonance: extremely light chest resonance, mostly head and breath resonance, creating a thin floating quality. Timbre: pale, airy, breath-dominant, fragile, glassy and distant. Phonation: soft incomplete vocal closure with substantial audible breath and delicate voiced tone underneath. Articulation: smooth and clear, with softened consonants and long fading vowels. Speed: slow and suspended. Prosody: unusually long phrase endings, gentle rises and falls and lingering pauses. Tone: sorrowful, beautiful, distant and calm. Important: make the voice feel physically insubstantial and supernatural through breath, resonance and phrasing, not electronic effects. Avoid an ordinary soft-spoken female narrator."
Cave Troll,09_cave_troll,casting_line,101469,,voice-design-options/monster-voicesV2/09_cave_troll/01_casting_line_seed_101469.wav,"Speak with weary irritation and dry humor in the troll's natural rough voice. Let the rocky, nasal and creaky texture remain prominent without sacrificing intelligibility.","Another hero. Wonderful. Let me guess: lost treasure, cursed sword, mysterious prophecy? Nobody visits a cave anymore just to have a pleasant conversation. Sit down if you must, but wipe your boots before you ruin the moss.","Role: old non-human cave troll, performed fantasy creature voice. Gender: male. Age: old but strong. Pitch: low-to-mid baritone, uneven and occasionally dipping into a rough lower register. Resonance: thick chest resonance mixed with strong nasal and throat resonance. Timbre: rocky, rattling, weathered, gravelly, creaky, phlegmy-sounding without becoming disgusting, and deeply worn. Phonation: irregular and rough with occasional vocal fry and old-creature rattle. Articulation: broad vowels, slightly crooked consonants and uneven pacing. Speed: slow to moderate. Prosody: grumbling downward contours, odd pauses and dry comic timing. Tone: ancient, irritable, stubborn, suspicious and unexpectedly witty. Important: strongly perform a troll creature voice with an old rocky texture. Avoid simply sounding like an elderly human man."
Ancient Dragon,10_ancient_dragon,casting_line,109388,,voice-design-options/monster-voicesV2/10_ancient_dragon/01_casting_line_seed_109388.wav,"Speak with serene regal authority and restrained curiosity. Do not roar. Let enormous resonance, unusually low pitch, smoky texture and deliberate physical scale make the voice unmistakably draconic.","So this is the little queen everyone has been whispering about. Come closer. I have watched kingdoms rise and disappear from these mountains, yet somehow your name has traveled farther than armies. I would like to know why.","Role: colossal ancient female dragon speaking human language, performed epic fantasy creature voice. Gender: female. Age: many centuries old but immensely powerful. Pitch: exceptionally low female contralto, deliberately below ordinary female conversational range. Resonance: enormous chest, throat and cavern-like body resonance, suggesting a creature vastly larger than a human. Timbre: dark, smoky, velvety, rich, slightly rough and faintly metallic at the edges. Phonation: dense and controlled with subtle creak and tremendous low-frequency weight, never breathy or fragile. Articulation: precise, slow and regal, with broad vowels and carefully weighted consonants. Speed: slow and deliberate. Prosody: majestic downward contours, long pauses and wide controlled emphasis. Tone: ancient, intelligent, proud, dangerous and faintly amused. Important: make the apparent physical scale of the speaker unmistakably non-human. She should sound like an enormous dragon capable of elegant speech, not merely a woman with a deep dramatic voice."
