voice_number,voice_name,variant,seed,duration_seconds,file,description,reference_text
1,Bright Little Queen,1,38117,13.2,voice-design-options/01_bright_little_queen/sample_01_seed_38117.wav,"A young female storybook heroine with a clear, bright, naturally youthful voice. Curious, clever, cheerful and adventurous. Medium-high pitch, expressive melodic intonation, crisp speech, and genuine excitement without sounding exaggerated or cartoonish. She should sound like a brave little queen who is always ready to discover something magical.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
1,Bright Little Queen,2,74629,14.48,voice-design-options/01_bright_little_queen/sample_02_seed_74629.wav,"A young female storybook heroine with a clear, bright, naturally youthful voice. Curious, clever, cheerful and adventurous. Medium-high pitch, expressive melodic intonation, crisp speech, and genuine excitement without sounding exaggerated or cartoonish. She should sound like a brave little queen who is always ready to discover something magical.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
1,Bright Little Queen,3,91583,13.28,voice-design-options/01_bright_little_queen/sample_03_seed_91583.wav,"A young female storybook heroine with a clear, bright, naturally youthful voice. Curious, clever, cheerful and adventurous. Medium-high pitch, expressive melodic intonation, crisp speech, and genuine excitement without sounding exaggerated or cartoonish. She should sound like a brave little queen who is always ready to discover something magical.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
2,Gentle Mermaid Princess,1,38117,15.2,voice-design-options/02_gentle_mermaid_princess/sample_01_seed_38117.wav,"A young female fantasy character with a soft, beautiful, warm voice. Light and clear with a slightly airy quality, gentle melodic intonation, and an affectionate sense of wonder. Calm but not sleepy. She should sound like a kind mermaid princess exploring a magical underwater kingdom.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
2,Gentle Mermaid Princess,2,74629,15.6,voice-design-options/02_gentle_mermaid_princess/sample_02_seed_74629.wav,"A young female fantasy character with a soft, beautiful, warm voice. Light and clear with a slightly airy quality, gentle melodic intonation, and an affectionate sense of wonder. Calm but not sleepy. She should sound like a kind mermaid princess exploring a magical underwater kingdom.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
2,Gentle Mermaid Princess,3,91583,16.16,voice-design-options/02_gentle_mermaid_princess/sample_03_seed_91583.wav,"A young female fantasy character with a soft, beautiful, warm voice. Light and clear with a slightly airy quality, gentle melodic intonation, and an affectionate sense of wonder. Calm but not sleepy. She should sound like a kind mermaid princess exploring a magical underwater kingdom.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
3,Bold Adventure Queen,1,38117,14.64,voice-design-options/03_bold_adventure_queen/sample_01_seed_38117.wav,"A youthful female fantasy heroine with a lively, confident voice. Clear mid-to-high register, energetic but natural, quick emotional reactions, strong curiosity, and a little fearless determination. She should sound like a young queen who leads her friends into adventures and believes they can solve whatever problem they encounter.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
3,Bold Adventure Queen,2,74629,13.12,voice-design-options/03_bold_adventure_queen/sample_02_seed_74629.wav,"A youthful female fantasy heroine with a lively, confident voice. Clear mid-to-high register, energetic but natural, quick emotional reactions, strong curiosity, and a little fearless determination. She should sound like a young queen who leads her friends into adventures and believes they can solve whatever problem they encounter.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
3,Bold Adventure Queen,3,91583,12.16,voice-design-options/03_bold_adventure_queen/sample_03_seed_91583.wav,"A youthful female fantasy heroine with a lively, confident voice. Clear mid-to-high register, energetic but natural, quick emotional reactions, strong curiosity, and a little fearless determination. She should sound like a young queen who leads her friends into adventures and believes they can solve whatever problem they encounter.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
4,Mischievous Fairy Queen,1,38117,14.4,voice-design-options/04_mischievous_fairy_queen/sample_01_seed_38117.wav,"A youthful female magical character with a light, nimble, playful voice. Bright tone, lively rhythm, expressive pitch changes, quick wit, and a hint of harmless mischief. Warm and lovable rather than shrill. She should sound like a tiny fairy queen who is clever, funny, and constantly thinking of another magical idea.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
4,Mischievous Fairy Queen,2,74629,13.92,voice-design-options/04_mischievous_fairy_queen/sample_02_seed_74629.wav,"A youthful female magical character with a light, nimble, playful voice. Bright tone, lively rhythm, expressive pitch changes, quick wit, and a hint of harmless mischief. Warm and lovable rather than shrill. She should sound like a tiny fairy queen who is clever, funny, and constantly thinking of another magical idea.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
4,Mischievous Fairy Queen,3,91583,13.92,voice-design-options/04_mischievous_fairy_queen/sample_03_seed_91583.wav,"A youthful female magical character with a light, nimble, playful voice. Bright tone, lively rhythm, expressive pitch changes, quick wit, and a hint of harmless mischief. Warm and lovable rather than shrill. She should sound like a tiny fairy queen who is clever, funny, and constantly thinking of another magical idea.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
5,Dreamy Moon Mermaid,1,38117,16.16,voice-design-options/05_dreamy_moon_mermaid/sample_01_seed_38117.wav,"A young female fantasy voice with a smooth, luminous, slightly dreamy tone. Soft but clearly articulated, with gentle rises and falls in pitch and a mysterious sense of wonder. Emotionally expressive and intimate, as though she knows secrets about moonlight, oceans, and hidden magical places.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
5,Dreamy Moon Mermaid,2,74629,15.6,voice-design-options/05_dreamy_moon_mermaid/sample_02_seed_74629.wav,"A young female fantasy voice with a smooth, luminous, slightly dreamy tone. Soft but clearly articulated, with gentle rises and falls in pitch and a mysterious sense of wonder. Emotionally expressive and intimate, as though she knows secrets about moonlight, oceans, and hidden magical places.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
5,Dreamy Moon Mermaid,3,91583,15.52,voice-design-options/05_dreamy_moon_mermaid/sample_03_seed_91583.wav,"A young female fantasy voice with a smooth, luminous, slightly dreamy tone. Soft but clearly articulated, with gentle rises and falls in pitch and a mysterious sense of wonder. Emotionally expressive and intimate, as though she knows secrets about moonlight, oceans, and hidden magical places.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
6,Warm Storybook Heroine,1,38117,15.04,voice-design-options/06_warm_storybook_heroine/sample_01_seed_38117.wav,"A youthful female lead character with a warm, friendly, natural speaking voice. Clear and expressive with moderate pitch, relaxed pacing, strong emotional range, and an immediately likable personality. She should sound believable during ordinary conversation but become animated naturally when something exciting or magical happens.","The moonlit tide is changing, and I can hear silver bells beneath the waves. Somewhere beyond that glowing gate, our lost kingdom is waiting. Come on, stay close—we've come much too far to turn back now."
