voice,voice_slug,dialog,seed,duration_seconds,wav,direction,text,voice_description
Ancient Demon,01_ancient_demon,calm_menace,38117,18.32,voice-design-options/monster-voices/01_ancient_demon/01_calm_menace_seed_38117.wav,"The demon speaks in his natural characteristic voice: slow, resonant, controlled, and quietly threatening. He is completely calm because he believes he has absolute control of the situation.","So, you are the little queen who opened the forgotten gate. Interesting. I expected someone taller. Still, courage has never cared much about size. Come closer and tell me why you have entered a place even kings were wise enough to avoid.","An ancient male demon with an extremely deep bass voice, immense chest resonance, a dark rough timbre, and subtle natural gravel. Mature, intelligent, physically imposing, and completely self-assured. Very low pitch with deliberate pacing and clear articulation. His voice should remain recognizably the same whether calm, amused, or angry, with menace coming from weight and authority rather than distortion or constant growling."
Ancient Demon,01_ancient_demon,dark_amusement,38117,18.48,voice-design-options/monster-voices/01_ancient_demon/02_dark_amusement_seed_38117.wav,"The demon sounds genuinely amused and intrigued. Keep the same deep resonant voice and deliberate pacing, but add restrained warmth, dry humor, and a subtle smile rather than overt laughter.","You actually stole the key from my guardian? I must admit, that is considerably more impressive than I expected. Perhaps I underestimated you. That happens very rarely, little queen, so enjoy the accomplishment while you still have time.","An ancient male demon with an extremely deep bass voice, immense chest resonance, a dark rough timbre, and subtle natural gravel. Mature, intelligent, physically imposing, and completely self-assured. Very low pitch with deliberate pacing and clear articulation. His voice should remain recognizably the same whether calm, amused, or angry, with menace coming from weight and authority rather than distortion or constant growling."
Ancient Demon,01_ancient_demon,controlled_anger,38117,15.28,voice-design-options/monster-voices/01_ancient_demon/03_controlled_anger_seed_38117.wav,"The demon becomes firmly angry without shouting. His voice grows heavier and more intense, with stronger emphasis and slightly quicker pacing, but he maintains complete vocal control and clear speech.","That was your warning. There will not be another. Put the flame back where you found it and step away from the altar. I have been patient because you are young, but even my patience eventually reaches its end.","An ancient male demon with an extremely deep bass voice, immense chest resonance, a dark rough timbre, and subtle natural gravel. Mature, intelligent, physically imposing, and completely self-assured. Very low pitch with deliberate pacing and clear articulation. His voice should remain recognizably the same whether calm, amused, or angry, with menace coming from weight and authority rather than distortion or constant growling."
Old Witch,02_old_witch,sly_conversation,46036,17.04,voice-design-options/monster-voices/02_old_witch/01_sly_conversation_seed_46036.wav,"The old witch speaks in her normal characteristic voice, sounding clever, secretive, and faintly amused. Moderate volume, deliberate pacing, and occasional sly emphasis.","Come inside, child. Don't worry about the ravens; they complain about everybody. Sit beside the stove and tell me what you saw in the forest. And please be accurate. Magical disasters are much easier to fix when people remember the inconvenient details.","An elderly female witch around eighty years old with a thin mid-to-high pitched voice, dry scratchy timbre, gentle rasp, and naturally creaky age. Clever, eccentric, suspicious, slyly humorous, and slightly wicked. Her rhythm is uneven but natural, with excellent intelligibility. She should sound distinctly old and witchlike without becoming a caricature."
Old Witch,02_old_witch,gentle_secret,46036,17.04,voice-design-options/monster-voices/02_old_witch/02_gentle_secret_seed_46036.wav,The witch speaks more softly and intimately while retaining her aged rasp and creaky timbre. She sounds unexpectedly kind but still cautious and mysterious.,"There is something your mother never told you. That little silver necklace was not merely a gift. It belonged to the first queen of the valley, and if it has begun glowing again, then something very old has finally awakened.","An elderly female witch around eighty years old with a thin mid-to-high pitched voice, dry scratchy timbre, gentle rasp, and naturally creaky age. Clever, eccentric, suspicious, slyly humorous, and slightly wicked. Her rhythm is uneven but natural, with excellent intelligibility. She should sound distinctly old and witchlike without becoming a caricature."
Old Witch,02_old_witch,irritated_warning,46036,15.28,voice-design-options/monster-voices/02_old_witch/03_irritated_warning_seed_46036.wav,"The witch becomes sharply irritated and serious. Keep the same elderly voice, but use firmer articulation, stronger emphasis, and quicker pacing without yelling or exaggerated screeching.","No, no, absolutely not. Put the purple bottle down. The red one makes smoke, the blue one makes rain, but that purple bottle once turned my entire kitchen into frogs. I have no intention of spending another afternoon catching furniture.","An elderly female witch around eighty years old with a thin mid-to-high pitched voice, dry scratchy timbre, gentle rasp, and naturally creaky age. Clever, eccentric, suspicious, slyly humorous, and slightly wicked. Her rhythm is uneven but natural, with excellent intelligibility. She should sound distinctly old and witchlike without becoming a caricature."
Young Witch,03_young_witch,playful_confidence,53955,15.36,voice-design-options/monster-voices/03_young_witch/01_playful_confidence_seed_53955.wav,"The young witch speaks in her natural characteristic voice with quick wit, confident energy, and a lightly teasing smile. Animated but conversational rather than theatrical.","Of course I know what I'm doing. Mostly. The spell is perfectly safe as long as nobody sneezes, touches the blue crystal, or asks why the floor is starting to glow. So perhaps we should all remain unusually calm for the next minute.","A young adult female witch in her early twenties with a clear lively mezzo-soprano voice, moderately high pitch, smooth youthful timbre, quick expressive intonation, and a subtle breathy quality. Clever, confident, playful, curious, and adventurous. Her voice should work naturally for both ordinary conversation and emotionally charged fantasy dialogue."
Young Witch,03_young_witch,quiet_curiosity,53955,12.08,voice-design-options/monster-voices/03_young_witch/02_quiet_curiosity_seed_53955.wav,"She becomes softer and more thoughtful, with genuine fascination and wonder. Preserve the same youthful timbre and expressive intonation while lowering her energy.","Look at the symbols around the doorway. They're changing whenever the moonlight touches them. I've read about magic like this, but I never thought I'd actually see it. Whatever is behind that door has been waiting for someone.","A young adult female witch in her early twenties with a clear lively mezzo-soprano voice, moderately high pitch, smooth youthful timbre, quick expressive intonation, and a subtle breathy quality. Clever, confident, playful, curious, and adventurous. Her voice should work naturally for both ordinary conversation and emotionally charged fantasy dialogue."
Young Witch,03_young_witch,focused_urgency,53955,13.04,voice-design-options/monster-voices/03_young_witch/03_focused_urgency_seed_53955.wav,"The witch becomes serious and urgent without shouting. Slightly faster pace, firmer articulation, and concentrated emotional intensity while preserving her normal voice identity.","Listen to me. We have maybe two minutes before that spell collapses. Take the lantern, stay beside the wall, and do exactly what I say. We can still fix this, but only if nobody tries to be clever for once.","A young adult female witch in her early twenties with a clear lively mezzo-soprano voice, moderately high pitch, smooth youthful timbre, quick expressive intonation, and a subtle breathy quality. Clever, confident, playful, curious, and adventurous. Her voice should work naturally for both ordinary conversation and emotionally charged fantasy dialogue."
Goblin,04_goblin,crafty_bargaining,61874,18.72,voice-design-options/monster-voices/04_goblin/01_crafty_bargaining_seed_61874.wav,"The goblin speaks in his normal characteristic voice: quick, crafty, slightly nasal, and eager. He is trying to make a deal and believes he is much smarter than everyone else.","Now, nobody said anything about giving you the map for free. Maps are valuable. Extremely valuable. But perhaps we can make an arrangement. You have shiny coins, I have useful information, and neither of us needs to mention any of this to the troll.","A small adult male goblin with a high-pitched wiry slightly nasal voice, thin raspy timbre, quick speech, sharp consonants, and restless expressive energy. Crafty, greedy, suspicious, clever, and easily excited. His voice should be unusual and recognizable but not so squeaky or exaggerated that ordinary dialogue becomes difficult to understand."
